StepNo;Timing;BeatValue;FootPosition;FootWork;ActionUsed;BodyTurn
1;2;1;LF back in Open Fallaway Pos;B flat;Bwd Walk;1/4 to L
2;3;1;RF in place;B flat;Wt transfer in place;-
3;4;1/2;LF to side;B flat;Cha Cha Cha Chasse LRL to side / turning to R;1/4 to R
4;&;1/2;RF half closed to LF;B flat;Cha Cha Cha Chasse LRL to side / turning to R;1/4 to R
5;1;1;LF to side;B flat;Cha Cha Cha Chasse LRL to side / turning to R;1/4 to R
6;2;1;RF back in Open Fallaway Pos;B flat;Bwd Walk;1/4 to R
7;3;1;LF in place;B flat;Wt transfer in place;-
8;4;1/2;RF to side;B flat;Cha Cha Cha Chasse RLR to side / turning to L;1/4 to L
9;&;1/2;LF half closed to RF;B flat;Cha Cha Cha Chasse RLR to side / turning to L;1/4 to L
10;1;1;RF to side;B flat;Cha Cha Cha Chasse RLR to side / turning to L;1/4 to L
11;2;1;LF back in Open Fallaway Pos;B flat;Bwd Walk;1/4 to L
12;3;1;RF in place;B flat;Wt transfer in place;-
13;4;1/2;LF to side;B flat;Cha Cha Cha Chasse LRL to side / turning to R;1/4 to R
14;&;1/2;RF half closed to LF;B flat;Cha Cha Cha Chasse LRL to side / turning to R;1/4 to R
15;1;1;LF to side;B flat;Cha Cha Cha Chasse LRL to side / turning to R;1/4 to R
