StepNo;Timing;BeatValue;FootPosition;FootWork;ActionUsed;BodyTurn
1;2;1;RF closed to LF;B flat;F close with wt change;-
2;3;1;LF fwd;B flat;Fwd Walk;-
3;4;1/2;RF fwd;B flat;Cha Cha Cha Lock RLR fwd;-
4;&;1/2;LF crossed behind RF;T;Cha Cha Cha Lock RLR fwd;-
5;1;1;RF fwd;B flat;Cha Cha Cha Lock RLR fwd;-
6;2;1;LF fwd;B flat;Fwd Walk;1/8 to L
7;3;1;RF back and slightly to side;B flat;Fwd Walk Turning;3/8 to L
8;4;1/2;LF back;T;Cha Cha Cha Lock LRL bwd;1/8 to L
9;&;1/2;RF crossed in front of LF;B flat;Cha Cha Cha Lock LRL bwd;1/8 to L
10;1;1;LF back;B flat;Cha Cha Cha Lock LRL bwd;1/8 to L
