StepNo;Timing;BeatValue;FootPosition;FootWork;ActionUsed;BodyTurn
1;2;1;RF back;B flat;Bwd Walk;-
2;3;1;LF in place;B flat;Wt transfer in place;-
3;4;1/2;RF fwd;B flat;Cha Cha Cha Lock RLR fwd;Slight body turn to L
4;&;1/2;LF crossed behind RF;T;Cha Cha Cha Lock RLR fwd;Slight body turn to L
5;1;1;RF fwd;B flat;Cha Cha Cha Lock RLR fwd;Slight body turn to L
6;2;1;LF fwd / T turned out;B flat;Checked Fwd Walk;-
7;3;1;RF in place;B flat;Wt transfer in place;-
8;4;1/2;LF back;T;Cha Cha Cha Lock LRL bwd;Slight body turn to L
9;&;1/2;RF in front of LF;B flat;Cha Cha Cha Lock LRL bwd;Slight body turn to L
10;1;1;LF back;B flat;Cha Cha Cha Lock LRL bwd;Slight body turn to L
