StepNo;Timing;BeatValue;FootPosition;FootWork;ActionUsed;BodyTurn
1;2;1;LF fwd / T turned out;B flat;Checked Fwd Walk;-
2;3;1;RF in place;B flat;Wt transfer in place;Up to 1/4 to L
3;4;1/2;LF to side and slightly back;B flat;Cha Cha Cha Chasse LRL / turning to L;Up to 1/4 to L
4;&;1/2;RF half closed to LF;B flat;Cha Cha Cha Chasse LRL / turning to L;Up to 1/4 to L
5;1;1;LF to side and slightly back;B flat;Cha Cha Cha Chasse LRL / turning to L;Up to 1/4 to L
6;2;1;RF back;B flat;Bwd Walk;-
7;3;1;LF in place;B flat;Wt transfer in place;Up to 1/4 to L
8;4;1/2;RF to side and slightly fwd;B flat;Cha Cha Cha Chasse RLR / turning to L;Up to 1/4 to L
9;&;1/2;LF half closed to RF;B flat;Cha Cha Cha Chasse RLR / turning to L;Up to 1/4 to L
10;1;1;RF to side and slightly fwd;B flat;Cha Cha Cha Chasse RLR / turning to L;Up to 1/4 to L
