StepNo;Timing;BeatValue;FootPosition;FootWork;ActionUsed;BodyTurn
1;2;1;LF fwd / T turned out;B flat;Checked Fwd Walk;-
2;3;1;RF in place;B flat;Wt transfer in place;-
3;4;1/2;LF to side / short step;B flat;Compact Chasse;-
4;&;1/2;RF half closed to LF;B flat;Compact Chasse;-
5;1;1;LF to side / short step;B flat;Compact Chasse;-
6;2;1;RF back;B flat;Bwd Walk;1/8 to R
7;3;1;LF in place;B flat;Wt transfer in place;1/8 to R
8;4;1/2;RF fwd;B flat;Cha Cha Cha Lock RLR fwd;1/8 to R
9;&;1/2;LF crossed behind RF;T;Cha Cha Cha Lock RLR fwd;1/8 to R
10;1;1;RF fwd;B flat;Cha Cha Cha Lock RLR fwd;1/8 to R
