StepNo;Timing;BeatValue;FootPosition;FootWork;ActionUsed;BodyTurn
1;1;1;RF to side;B flat;Side Step;-
2;2;1;LF closed to RF;B flat;F close with wt change;-
3;3;1;RF in place;B flat;Wt transfer in place;-
4;4;1/2;LF to side;B flat;Cha Cha Cha Chasse LRL / to side;-
5;&;1/2;RF half closed to LF;B flat;Cha Cha Cha Chasse LRL / to side;-
6;1;1;LF to side;B flat;Cha Cha Cha Chasse LRL / to side;-
7;2;1;RF closed to LF;B flat;F close with wt change;-
8;3;1;LF in place;B flat;Wt transfer in place;-
9;4;1/2;RF to side;B flat;Cha Cha Cha Chasse RLR / to side;-
10;&;1/2;LF half closed to RF;B flat;Cha Cha Cha Chasse RLR / to side;-
11;1;1;RF to side;B flat;Cha Cha Cha Chasse RLR / to side;-
